codigo_postal,nombre_entidad_singular,municipio_id,nombre
44360,SANTA EULALIA,44209,Santa Eulalia
44366,ORIHUELA DEL TREMEDAL,44174,Orihuela del Tremedal
44367,BRONCHALES,44045,Bronchales
44368,POZONDON,44189,Pozondón
44369,PERACENSE,44180,Peracense
44370,CELLA,44076,Cella
44380,VILLARQUEMADO,44261,Villarquemado
44381,TORREMOCHA DE JILOCA,44228,Torremocha de Jiloca
44382,TORRELACARCEL,44226,Torrelacárcel
44390,SAN MARTIN DEL RIO,44207,San Martín del Río
44391,LUCO DE JILOCA,44050,Calamocha
44392,POYO DEL CID (EL),44050,Calamocha
44393,TORRIJO DEL CAMPO,44232,Torrijo del Campo
44394,VILLAFRANCA DEL CAMPO,44251,Villafranca del Campo
44395,ALBA,44007,Alba
44396,CAUDE,44216,Teruel
44397,CONCUD,44216,Teruel
44400,MORA DE RUBIELOS,44158,Mora de Rubielos
44409,CASTELLAR (EL),44070,"Castellar, El"
44410,MOSQUERUELA,44160,Mosqueruela
44411,PUERTOMINGALVO,44193,Puertomingalvo
44412,LINARES DE MORA,44137,Linares de Mora
44413,VALDELINARES,44244,Valdelinares
44414,NOGUERUELAS,44165,Nogueruelas
44415,RUBIELOS DE MORA,44201,Rubielos de Mora
44420,MANZANERA,44143,Manzanera
44421,TORRIJAS,44231,Torrijas
44422,PAUL (EL),44143,Manzanera
44423,OLMOS (LOS),44143,Manzanera
44424,ESCALERUELA (LA),44210,Sarrión
44430,VALBONA,44240,Valbona
44431,VIRGEN DE LA VEGA (LA),44012,Alcalá de la Selva
44432,ALCALA DE LA SELVA,44012,Alcalá de la Selva
44433,GUDAR,44121,Gúdar
44440,FORMICHE ALTO,44103,Formiche Alto
